t,src,x,y,z,r,roll,pitch,azimuth,flight_mode,armed,airborne
1764598711.042884,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.068219,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.093162,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.118096,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.142905,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.168168,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.193163,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.218106,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598711.242952,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.268101,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.293212,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.318022,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.342988,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.368058,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.393066,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.418089,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.443026,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.468149,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.493138,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.518147,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.542981,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.568039,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.593076,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.618174,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.642972,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.667918,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.693197,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.718265,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.742914,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.768047,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.793231,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.818147,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598711.842923,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.868117,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.892978,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.918176,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.942993,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.968079,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598711.993191,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.018161,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.042887,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.068152,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.093138,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.118053,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598712.142887,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.168087,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.193052,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.218135,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.242890,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.268068,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.293203,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.318109,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.342917,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.368131,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.393082,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.418228,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.442938,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.468145,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.493167,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.518231,gui,0.0,0.0,0.0,0.0,0.0019,-0.0000,1.5818,1,0,0
1764598712.542907,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.568077,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.593212,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.618224,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.642988,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.668207,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.693211,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.718246,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.742890,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.768185,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.793267,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.818153,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598712.842903,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.868097,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.893184,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.918056,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.942900,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.968135,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598712.993057,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.018184,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.042903,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.068125,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.093095,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.118227,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.143059,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.168105,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.193123,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.218107,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.243002,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.268068,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.293041,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.318103,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.342925,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.368135,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.393069,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.418135,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598713.442888,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.468203,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.493078,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.518112,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.542953,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.568146,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.593094,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.618126,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5816,1,0,0
1764598713.642882,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.668050,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.693169,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.717937,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.743122,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.768018,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.793047,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.818138,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.842916,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.868072,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.893101,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.918091,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.942920,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.968026,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598713.993072,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.018159,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.042901,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.067940,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.093066,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.118121,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.142886,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.168011,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.193151,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.218063,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.242948,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.268112,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.292939,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.318039,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.342895,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.368129,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.393055,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.418053,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.442882,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.468120,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.493173,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.518069,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5817,1,0,0
1764598714.542902,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.568079,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.593200,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.618135,gui,0.0,0.0,0.0,0.0,0.0018,-0.0000,1.5818,1,0,0
1764598714.642979,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.668158,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.693098,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.718153,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.742991,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.768161,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.793004,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.818249,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5818,1,0,0
1764598714.842971,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.868095,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.893160,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.918289,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.942989,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.968045,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598714.993201,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598715.018065,gui,0.0,0.0,0.0,0.0,0.0017,-0.0000,1.5817,1,0,0
1764598715.042959,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.068164,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.093074,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.118158,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.142966,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.168155,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.193160,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.218130,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.242941,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.268176,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.293149,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.318092,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.342891,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.368071,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.393135,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.418178,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.442872,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.468145,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.493108,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.518063,gui,0.0,0.0,0.0,0.0,0.0015,-0.0000,1.5817,1,0,0
1764598715.542953,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.568154,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.593225,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.618152,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,0,0
1764598715.643126,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.668172,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
1764598715.693161,gui,0.0,0.0,0.0,0.0,0.0016,-0.0000,1.5817,1,1,0
