episode,step,t_start,t_end,S_pos_x,S_pos_y,S_pos_z,S_vel_x,S_vel_y,S_vel_z,S_roll,S_pitch,S_azimuth,S_alt_rel,A_x,A_y,A_z,A_r,A_duration,Sp_pos_x,Sp_pos_y,Sp_pos_z,Sp_vel_x,Sp_vel_y,Sp_vel_z,Sp_roll,Sp_pitch,Sp_azimuth,Sp_alt_rel
1,1,1764691014.605015,1764691018.607305,6.861490542409143e-11,0.011088013174851731,0.03601074095217552,2.4791199393803254e-05,-3.638434264985335e-08,-0.0009495156118646264,-2.599690276383626e-07,-2.0269228116376325e-05,1.5824551582336426,0.004000000189989805,0.0,0.0,550.0,0.0,4.0,-0.14283991945865715,0.09979230260855765,11.800994870069953,-0.04885277897119522,0.03645338863134384,5.0890583992004395,0.0002832250902429223,0.000409907748689875,1.583471655845642,11.76400089263916
1,2,1764691024.627223,1764691027.632286,2.4663769629480665,0.13305710821338046,31.717010019382776,1.0934752225875854,0.007742348592728376,3.4622440338134766,-0.0005332141299732029,-0.041219305247068405,1.584113359451294,31.680002212524414,120.0,0.0,510.0,350.0,3.0,5.037509231411818,-0.39916968114511064,38.623990919607905,0.8330243825912476,-0.5300233960151672,2.6027843952178955,-0.0010527289705350995,-0.04132237285375595,-2.5890607833862305,38.58700180053711
1,3,1764691037.655719,1764691040.657213,18.2169595192234,-17.41935953299566,39.163951591980215,2.1055071353912354,-3.194493055343628,-0.1579001247882843,-0.06981848925352097,-0.07727359235286713,-2.5955545902252197,39.12700271606445,310.0,250.0,500.0,-300.0,3.0,21.768952279496187,-26.89966103126421,38.96090447218561,1.4401369094848633,-4.121940612792969,-0.13771191239356995,0.0895748883485794,-0.10782057046890259,1.8098037242889404,38.92400360107422
1,4,1764691046.674746,1764691052.682366,34.06281617066692,-48.166502788335215,30.5867321525671,2.6467721462249756,-4.001811981201172,-2.399998903274536,0.08836881071329117,-0.10514382272958755,1.8743236064910889,30.55000114440918,300.0,-200.0,500.0,0.0,6.0,50.87044682403314,-59.38750125798148,24.621529029209416,4.047904014587402,-0.5504156947135925,-0.637455940246582,-0.06720562279224396,-0.10470791906118393,1.8794493675231934,24.58500099182129
1,5,1764691055.694674,1764691062.707272,59.317101851163,-59.07698285022859,23.698454882619398,2.452183723449707,1.0649912357330322,-0.3225160241127014,-0.059613995254039764,-0.08807095885276794,0.07797221094369888,23.66200065612793,250.0,150.0,500.0,0.0,7.0,75.95325680903022,-40.271578145601765,30.162414935679145,4.0587849617004395,4.500228404998779,1.9973912239074707,0.0500384196639061,-0.08846890181303024,0.11682534217834473,30.12900161743164
1,6,1764691069.723808,1764691075.732208,54.841196036188805,-13.87101622320729,25.38475907764296,-2.763911008834839,5.9356608390808105,-2.155268430709839,-0.041308142244815826,-0.07192136347293854,2.596223831176758,25.34800148010254,100.0,-80.0,480.0,0.0,6.0,39.74754869065134,21.011919829671392,18.14983541624764,-2.3601326942443848,5.520657062530518,-0.793437659740448,-0.03007599152624607,-0.03768230602145195,2.6858832836151123,18.11600112915039
1,7,1764691080.748604,1764691084.757214,36.72877246523859,39.51782249122544,12.776779498889198,-1.5654287338256836,3.8026230335235596,-1.5919406414031982,-0.01776975765824318,-0.03478536009788513,2.683187484741211,12.743000984191895,80.0,20.0,490.0,0.0,4.0,43.22321132010876,29.571856039063235,7.799803166787385,-1.7971582412719727,3.2646496295928955,-1.793654203414917,0.003973854705691338,-0.028408309444785118,2.6821603775024414,7.766000270843506
1,8,1764691093.779328,1764691096.782366,31.60550245189227,44.61818691490365,-3.6512358907660882,-1.5260802507400513,1.6748601198196411,-1.6775296926498413,0.03317311778664589,-0.05200187489390373,-1.0644832849502563,-3.687000274658203,100.0,100.0,490.0,0.0,3.0,26.168090866129745,46.84685667393501,-4.2932256228179675,-2.0506129264831543,0.6614435911178589,-0.506038248538971,0.03393197059631348,-0.034987036138772964,-1.0096715688705444,-4.328999996185303
1,9,1764691099.792769,1764691109.807271,22.797096451271976,47.07970669147948,-2.978211976050872,-2.4263789653778076,0.5497808456420898,-0.055128078907728195,0.03782397881150246,-0.03288721293210983,-1.1259429454803467,-3.01200008392334,0.0,0.0,0.0,0.0,10.0,18.949982380102647,46.42554055009619,1.6738134739609372,-0.3309681713581085,-0.01544291153550148,1.7041264772415161,0.03360952064394951,-0.06741121411323547,-0.7614074349403381,1.6390000581741333
1,10,1764691126.725287,1764691130.732190,2.3563984097307866e-11,0.12196815457901994,0.69201660000658,0.001063136151060462,0.1237451434135437,0.4238947033882141,0.005774765275418758,0.00013509274867828935,1.581697940826416,0.2410000115633011,0.0,0.0,550.0,0.0,4.0,1.6416201731317415e-11,0.33264109546526655,13.55300902429832,-0.010327507741749287,0.06890487670898438,5.410166263580322,-0.000979840406216681,2.1739133444498293e-05,1.5744142532348633,13.10200023651123
1,11,1764691139.756145,1764691143.757190,3.9043041530284395,3.015957280706166,35.91601371408293,0.7002558708190918,0.8303304314613342,2.3407790660858154,0.0006325136055238545,-0.042188744992017746,-0.5680755376815796,35.46500015258789,200.0,-150.0,480.0,0.0,4.0,4.504232048225946,7.440099910324751,36.098016515077276,-0.5875439643859863,1.5915964841842651,-0.7719146609306335,-0.04949098080396652,-0.06925832480192184,-0.5365110635757446,35.64800262451172
