episode,step,t_start,t_end,S_pos_x,S_pos_y,S_pos_z,S_vel_x,S_vel_y,S_vel_z,S_roll,S_pitch,S_azimuth,S_alt_rel,A_x,A_y,A_z,A_r,A_duration,Sp_pos_x,Sp_pos_y,Sp_pos_z,Sp_vel_x,Sp_vel_y,Sp_vel_z,Sp_roll,Sp_pitch,Sp_azimuth,Sp_alt_rel
1,1,1764676744.182819,1764676749.187186,,,,,,,-7.013610593276098e-05,-0.06761275231838226,1.5934244394302368,,200.0,0.0,100.0,0.0,5.0,,,,,,,-6.324941205093637e-05,-0.06983471661806107,1.6049649715423584,
1,2,1764676756.207833,1764676761.212114,,,,,,,-0.0062000020407140255,-0.10566691309213638,1.9927808046340942,,100.0,0.0,100.0,700.0,5.0,,,,,,,-0.00468812370672822,-0.06563388556241989,2.2597131729125977,
1,3,1764676768.236250,1764676773.237051,,,,,,,-0.006339844781905413,-0.007589692249894142,-1.633922815322876,,200.0,0.0,200.0,0.0,5.0,,,,,,,0.01036001555621624,-0.0712178573012352,-2.204071283340454,
